Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
All The Money in the World,2017,5.5,4,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.
American Made,2017,7.5,7,5,6,.,8,7,7.5,.,.,.,.,.,.,.,.,7.5,.
Baby Driver,2017,8.5,7.5,8.5,8.5,7,8,7,.,.,.,6,.,.,.,7.5,.,.,.
Battle of the Sexes,2017,7.5,7,7.5,7.5,6.5,.,7,7,.,.,7.5,.,.,.,.,.,.,.
Baywatch,2017,.,.,5.5,.,5,.,6,6,.,.,.,.,.,.,.,.,5,.
Beauty and the Beast,2017,8,7.5,7,9,7,5,7,.,6,.,.,8.5,.,.,.,.,.,.
Blade Runner 2049,2017,7,7,9,10,10,7.5,10,9,8,9,8,.,.,.,8.5,.,.,.
Brigsby Bear,2017,7.5,7.5,8,9,8,.,8,.,.,7,.,.,.,.,9,.,.,.
Call Me By Your Name,2017,5.5,8,7,.,.,.,8,.,1,.,6.5,10,.,.,.,.,.,.
Cars 3,2017,.,.,.,.,.,4,.,8,4,.,.,.,8,.,.,.,.,.
Chappaquiddick,2017,6,6,.,.,.,.,.,6,.,.,.,.,.,.,.,.,6,.
Coco,2017,8,7.5,8,5,9,8,9,9,7,8.5,7.5,.,.,.,.,8.5,9,7
Detroit,2017,7,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Disobedience,2017,.,.,7,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Downsizing,2017,.,.,5.5,.,3,.,5,.,.,5.75,.,.,4,.,.,.,.,.
Dunkirk,2017,7.5,6,8,8,9.5,10,7,8,.,.,8.5,.,.,.,7,.,6.5,.
Fate of the Furious,2017,.,.,7,7.5,7,6,7,.,.,.,.,.,.,.,5.5,.,.,.
Get Out,2017,7,9,9,8,10,7,8,8,.,8.5,.,8,8,.,8.5,.,7.5,.
Good Time,2017,8,7,8,7,.,.,8,.,.,.,8,.,.,.,.,.,9,.
Guardians of the Galaxy 2,2017,6,6.5,5,6,7,7,7,.,6,.,5.5,6,.,.,7,.,.,.
Hostiles,2017,8,7.5,.,.,8,8,.,.,.,.,.,4,.,.,7,.,.,.
"I, Tonya",2017,7.5,7,8,7,8,.,7,.,.,.,.,7,.,.,8.5,.,.,.
In the Fade,2017,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ingrid Goes West,2017,7.5,7.5,7,.,.,.,8,.,.,.,.,6.5,.,.,8.5,.,.,.
IT (Stephen King),2017,6.5,.,6,.,7.5,.,4.5,7.5,.,.,.,.,6,.,.,.,.,.
John Wick 2,2017,8,.,7.5,7,.,6,6,7.5,8,.,6.5,.,.,.,7,.,.,.
