Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
We Are Marshall,2006,7,.,7.5,.,.,.,7,.,6,.,.,.,.,.,.,.,.,.
An Inconvenient Truth,2006,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.
Lady in the Water,2006,5.5,6,.,5,.,.,.,5,.,6,.,.,.,.,.,.,.,.
The Break-Up,2006,6,6,6.5,6.5,.,7.5,.,5.5,6,.,6,.,.,.,.,.,.,.
Into The Wild,2007,6.5,.,7.5,6.5,.,.,5.5,.,7,7,7,.,.,.,.,.,.,.
The Kite Runner,2007,8,7.5,.,.,.,8.5,.,8,7,7,.,.,.,.,.,.,.,.
Blades of Glory,2007,7,7.5,7,7,.,7,8,.,.,7,.,.,.,.,7,.,.,.
Charlie Wilson's War,2007,.,.,.,.,.,7,.,.,7,.,.,.,.,.,.,.,.,.
Step Brothers,2008,.,.,8,8.5,.,.,8.5,.,9,7,.,.,.,.,6.5,.,.,.
Pineapple Express,2008,.,.,7.5,8.5,.,.,8,.,7,.,.,.,.,.,6,.,.,.
Cloverfield,2008,6.5,.,6.5,8,.,7,6,7,.,.,7,.,.,.,8.5,.,.,.
Valkyrie,2008,8,.,7.5,7.5,.,9,.,.,.,.,.,.,.,.,.,.,.,.
Man on Wire,2008,8.5,7,8,8.5,.,.,7,.,.,7,.,.,.,.,.,.,9.5,.
The Cove,2008,8.5,7,8,5.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Religulous,2008,6.5,.,.,.,.,.,5,.,.,6,.,.,.,.,.,.,.,.
W.,2008,.,.,7.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Fantastic Mr. Fox,2009,8,8.5,8,.,.,.,9,.,.,.,7.5,.,.,.,8,7,.,7
A Christmas Carol,2009,6,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.
"I Love You, Man",2009,.,.,7.5,7.5,.,.,8.5,.,7,6.5,.,.,.,.,.,.,.,.
Public Enemies,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Where the Wild Things Are,2009,5,.,5.5,5,.,6,7,.,.,.,.,.,.,.,7.5,.,.,.
The Princess and the Frog,2009,7,8,.,.,.,7.5,.,7.5,6,7,.,.,.,.,7.5,.,.,.
Big Fan,2009,7.5,.,7.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Invictus,2009,7.5,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.
Free State of Jones,2016,7.5,.,.,.,.,7,.,.,.,.,.,.,.,.,6.5,.,.,.
The Way Back,2020,.,.,7.5,.,.,.,7,.,.,7,.,.,.,.,.,.,.,.
The Hunt,2020,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.
Cast Away,2000,9,9,8.5,9,.,9,9,9,8,9,9,.,8,.,9.5,.,9,.
Rounders,1998,8,.,8.5,8.5,.,7.5,8,.,6,.,.,.,.,.,.,.,.,.
Despicable Me,2010,7,.,.,.,.,7.5,7,8.5,8,.,7.5,.,.,.,7,7.5,.,7
The Fighter,2010,.,.,6,7,.,.,,.,.,.,.,.,.,.,.,.,.,.
Winter's Bone,2010,.,.,7.5,7,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
The Kids Are All Right,2010,.,.,7,8.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Robin Hood,2010,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Date Night,2010,.,.,6.5,.,.,.,.,7,7,6.5,6.5,.,.,.,7,.,.,.
Thor,2011,.,.,5.5,7,.,6,6,.,.,.,.,.,.,.,6,.,.,.
Bridesmaids,2011,.,.,7.5,9,.,.,8,.,8,7,.,.,.,.,.,.,.,.
Rango,2011,7.5,.,7,.,.,6,6,.,.,.,.,.,.,.,7,.,.,.
Contagion,2011,7.5,.,8,8,.,6.5,.,7,.,.,.,.,.,.,.,.,.,.
Life of Pi,2012,.,.,6.5,6.5,.,8.5,7,.,7,6.5,.,.,.,.,.,.,.,.
Robot & Frank,2012,7,.,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Mud,2012,7.5,7,.,6.5,.,7.5,7.5,7.5,.,.,.,.,.,.,.,.,.,.
Jiro Dreams of Sushi,2012,8,8,.,8.5,.,.,8,.,9,7,.,.,.,.,.,.,9,.
The Great Gatsby,2013,.,.,.,6.5,.,7,8,.,5,.,.,.,.,.,.,.,8,.
Saving Mr. Banks,2013,7,.,6.5,7.5,.,7.5,6,.,7,.,.,.,.,.,.,.,.,.
Inside Llewyn Davis,2013,8,.,8,.,.,.,7.5,.,.,.,.,.,.,.,9,.,.,.
Blackfish,2013,5,.,.,7,.,.,.,5.5,.,6,.,.,.,.,.,.,.,.
The Lincoln Lawyer,2011,.,.,7.5,8,.,7,7,.,6,.,.,.,.,.,.,.,8,.
Spenser Confidential,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,.
Onward,2020,5,7,7,.,.,.,5.5,6.5,8,5.5,.,.,.,.,.,7,8.5,7
The Last Thing He Wanted,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.
Birds of Prey,2020,.,.,6,.,.,.,7,.,.,.,.,.,.,.,.,.,7,.
American Factory,2019,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,8,.
The Rhythm Section,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.
Judy,2019,.,.,5.5,.,.,.,7,.,.,.,.,.,.,.,.,.,8,.
Horse Girl,2020,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,5,.
Miss Americana,2020,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,8,.
Shanghai Noon,2000,7.5,7.5,.,8,.,7,.,.,7,.,.,.,.,.,7,.,.,.
The Platform (El hoyo),2019,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Traffic,2000,9,.,9,8.5,.,7.5,8.5,8,.,.,9,.,.,.,.,.,.,.
The Shawshank Redemption,1994,10,10,10,9,.,10,10,10,10,10,10,.,9,9,9,no,.,no
Casino Royale,2006,7.5,.,8,8,.,8,8,7.5,.,.,8,.,.,.,.,.,10,.
Quantum of Solace,2008,.,.,5.5,6,.,6.5,7,.,.,.,7,.,.,.,.,.,.,.
Skyfall,2012,.,.,8,8.5,.,7,8,.,.,.,7.5,.,.,.,.,.,.,.
Spectre,2015,.,.,5,6,.,7,6.5,6,.,.,7.5,.,.,.,.,.,.,.
Green Room,2015,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Togo,2019,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,.,8
Trolls World Tour,2020,4,5.5,.,.,.,.,5,6,2,.,5,.,.,.,.,4,.,3
A Fortunate Man,2018,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Babel,2006,6,6,7,6.5,.,7,8,.,.,.,.,.,.,.,9,.,.,.
Okja,2017,7,.,.,.,.,6.5,6,.,.,.,.,.,.,.,.,.,.,.
Dragged Across Concrete,2018,.,.,.,.,.,7.5,.,7.5,.,.,.,.,.,.,.,.,.,.
High Fidelity,2000,9,8.5,9,8.5,.,7.5,8.5,.,7,7.5,8.5,.,.,.,7.5,.,.,.
The Lovebirds,2020,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Midway,2019,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
Scoob,2020,.,.,.,.,.,.,.,4.5,.,.,.,.,.,.,.,.,.,.
Dolemite Is My Name,2019,.,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.
Les Miserables,2012,4.5,.,.,6.5,.,6.5,6,7.5,8,.,.,.,.,.,.,.,.,.
The Purge,2013,.,.,6.5,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.
Da 5 Bloods,2020,.,.,7,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
The King of Staten Island,2020,.,.,7.5,.,.,.,6,.,8,.,.,.,.,.,.,.,.,.
Call of the Wild,2020,.,.,.,.,.,7,.,6,.,.,.,.,.,.,.,.,.,.
The Vast of Night,2020,.,.,6.5,7.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
The Death of Stalin,2017,.,.,8,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.
Eurovision Song Contest,2020,5.5,6,7.5,.,.,.,7,.,5,.,.,.,.,.,.,.,.,.
Never Rarely Sometimes Always,2020,7,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Swingers,1996,10,9,10,10,.,9,10,8,7,8.75,8.55,.,.,.,7.5,no,.,.
Palm Springs,2020,9,7,9,8.5,.,8.5,10,.,9,7.75,9,.,.,.,.,.,.,.
A Man Called Ove,2015,7,7.5,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
The Old Guard,2020,.,.,7,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Out of Sight,1998,.,.,10,9,.,8,9.5,.,.,.,.,.,.,.,.,.,.,.
Scott Pilgrim vs. The World,2010,.,.,9.5,9,.,7.5,8,7.5,8,7.25,.,.,.,.,8,.,.,.
I used to go here,2020,.,.,5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
True History of the Kelly Gang,2019,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bill & Ted Face the Music,2020,.,.,6.5,.,.,.,7,6,.,5.5,.,.,.,.,.,.,.,.
Mulan,2020,5,6,.,6,.,6,6,6,7,6.5,.,.,.,.,.,6,.,6.5
In the Heart of the Sea,2015,7.5,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.
Tenet,2020,6,7,7.5,8.5,.,7.5,6,7.5,.,7,.,.,9,.,8,.,.,.
"The King (2019, Netflix)",2019,7.5,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.
Inherent Vice,2014,.,.,7.5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Infidel,2019,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Richard Jewell,2019,7,7,.,.,.,6.5,.,8,.,.,.,.,.,.,.,.,.,.
I'm Thinking of Ending Things,2020,.,.,8.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Under the Silver Lake,2018,.,.,7,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
On The Rocks,2020,7,7,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
First Cow,2020,8,7,8.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Synchronic,2019,7,6.5,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Kajillionaire,2020,.,.,8,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Possessor,2020,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Let Him Go,2020,7.5,8,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Black Bear,2020,.,.,8.5,8.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Freaky,2020,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
News of the World,2020,6,6.5,6.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
The Midnight Sky,2020,5,6,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
WW84,2020,.,.,6.5,7,.,6.5,6,.,3,.,.,.,.,.,.,.,.,.
Soul,2020,7,7,8,8,.,7.5,9,.,8,.,7.5,.,.,.,.,7.5,.,7.5
The Assistant,2019,.,.,7.5,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Once,2007,8,7.5,8.5,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.
The Nest,2020,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Promising Young Woman,2020,7.5,6.5,7.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Shithouse,2020,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
the little things,2021,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Dig,2021,5.5,6.5,.,.,.,6.5,.,.,.,.,.,.,7.5,7.5,.,.,.,.
Antebellum,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.5,.,.,.
Enola Holmes,2020,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Judas and the Black Messiah,2021,7.5,6.5,7.5,8,.,.,7,.,.,.,.,.,.,.,.,.,.,.
The Professor and The Madman,2019,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
Nomadland,2021,7.5,7.5,8.5,7.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Coming 2 America,2021,.,.,4.5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Raya and the Last Dragon,2021,5.5,6,.,6,.,6,7,.,7,.,.,.,.,.,.,.,.,.
Another Round,2020,.,.,8.5,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Minari,2020,.,.,8.5,9.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Zach Snyder's Justice League,2021,.,.,8,9,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Honest Thief,2020,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
Nobody,2021,7.5,.,7.5,8,.,.,7,.,9,7.75,.,.,.,.,8,.,6,.
Bad Trip,2021,.,.,8,.,.,.,,.,.,.,.,.,.,.,.,.,.,.
The Father,2020,8,7.5,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Godzilla vs. Kong,2021,.,.,5,5.5,.,.,7,5.5,.,.,.,.,.,.,.,.,.,.
LOTR: The Fellowship of the Ring,2001,9.5,8,9,9.5,.,9.5,9,8,1,9,8.5,.,.,.,10,8,9.5,8.5
LOTR: The Two Towers,2002,8,7,8,8,.,9,7.5,7,1,9,8,.,.,.,9.5,7,8,8
LOTR: The Return of the King,2003,9,8,8.5,9,.,9,9,9,1,9.5,8.5,.,.,.,10,8,9,9
Voyagers,2021,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Courier,2021,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
White Tiger,2021,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Charlie's Angels,2019,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.
Mortal Kombat,2021,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Together Together,2021,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Dawn Wall,2017,8,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.
Mission: Impossible - Ghost Protocol,2011,7.5,.,8,8,.,7,7.5,7.5,.,.,.,.,.,.,.,.,.,.
Wrath of Man,2021,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Army of the Dead,2021,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
A Quiet Place II,2021,8,7,8,.,.,8,.,8,.,8,.,.,.,.,8,8,.,8.5
Cruella,2021,.,.,7.5,8.5,.,7,8,8,8,7,.,.,.,.,.,.,.,
In the Heights,2021,8.5,8,8.5,.,.,7.5,7,6,6,.,.,.,.,.,.,9,8.5,8
The Hitman's Wife's Bodyguard,2021,.,.,4.5,.,.,.,5,5.5,.,.,.,.,.,.,.,.,.,.
F9,2021,2.5,6,4.5,5,.,.,.,.,.,.,6,.,.,.,5.5,.,.,.
Fast Five,2011,7,.,9,9,.,.,9,.,.,.,8,.,.,.,5,.,.,.
The Fast and the Furious,2001,5.5,.,7.5,7.5,.,.,6,.,.,.,7.5,.,.,.,5,.,.,.
No Sudden Move,2021,.,.,8,7.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Zola,2021,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Black Widow,2021,4,4,6,.,.,7,6,4,6,.,.,.,.,.,.,6,.,7
Old,2021,7,7,6.5,7.5,.,6,6.5,.,.,.,.,.,.,.,6.5,.,.,.
Star Trek,2009,7,7.5,.,8,.,.,6,.,.,.,7,.,.,.,8,7,.,7.5
The Green Knight,2021,2.5,2,.,.,.,.,3,.,.,.,.,.,.,.,7,.,7,.
Stillwater,2021,.,.,7,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
The Suicide Squad,2021,.,.,8,8,.,.,8.5,.,8,.,.,.,.,.,.,.,.,.
Free Guy,2021,8,8,6,.,.,7,8,9,8.5,.,.,.,.,.,7,8.5,.,8.5
Shang-Chi,2021,7,8.5,7.5,9,.,7.5,8.5,.,8,.,.,.,.,.,.,.,.,8
Children of Men,2006,.,.,8.5,8.5,.,.,.,.,.,.,.,.,.,.,8,.,.,.
The Eyes of Tammy Faye,2021,5.5,7,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Titane,2021,.,.,8.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Snowpiercer,2013,7.5,.,8,6.5,.,7.5,8,.,.,.,7.5,.,.,.,8,.,.,.
The Last Duel,2021,8.5,8,8,8,.,8,8,.,.,.,.,.,.,.,.,.,.,.
Dune,2021,9,7.5,9.5,9,.,9.5,9.5,7,9,7,.,.,.,.,9.5,9,7.5,9.5
Last Night in Soho,2021,.,.,6.5,7,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Eternals,2021,.,.,4.5,.,.,.,4,.,3,.,.,.,.,.,.,.,.,.
Belfast,2021,7.5,8,7,7,.,10,9.5,.,.,.,.,.,.,.,.,.,.,.
The French Dispatch,2021,7,6.5,7,6.5,.,.,8,.,.,.,.,.,.,.,7.6,.,.,.
House of Gucci,2021,6,6,7.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,8.5,.
C'mon C'mon,2021,.,.,8,.,.,.,,.,.,.,.,.,.,.,.,.,.,.
Spencer,2021,4.5,5,.,.,.,.,3.5,.,.,.,.,.,.,.,.,.,.,.
Ghostbusters: Afterlife,2021,7,8,6,.,.,7,7,8,.,7.25,.,.,.,.,9,8.5,.,8.5
Licorice Pizza,2021,7.5,8,9,8.5,.,.,8.5,.,.,6.5,.,.,.,.,.,.,.,.
West Side Story,2021,7,7.5,7.5,.,.,6.5,7,.,6,6.5,.,.,.,.,.,8,.,7.5
Spider-Man: No Way Home,2021,8,8,8,.,.,8,9,7,9,7,.,.,.,.,.,8.5,.,9
About Time,2013,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Don't Look Up,2021,.,.,6.5,6,.,4,3,5,6,5,.,.,9,.,.,.,.,.
Red Rocket,2021,.,.,8.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
The Tragedy of Macbeth,2021,.,.,7.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
King Richard,2021,.,.,7.5,.,.,7.5,7.5,.,.,.,.,.,.,.,.,.,.,.
The Lost Daughter,2021,4,5,8,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Power of the Dog,2021,5,8,8,8,.,.,7,.,3,.,.,.,.,.,.,.,.,.
American Underdog,2021,6,6,.,.,.,.,7,7.5,.,.,.,.,.,.,.,8,.,8.5
Gladiator,2000,9.5,9.5,9.5,10,.,10,9,9,10,9,9.5,.,.,.,9,8,.,9
The Matrix Resurrections,2021,3,.,.,.,.,.,7,3,.,4.5,.,.,.,.,5,.,.,.
Encanto,2021,4.5,4,.,.,.,5,7,7,7,6.5,7,.,.,.,.,4.5,.,2
Shiva Baby,2021,.,.,7.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
The Rescue (Nat Geo),2021,9,.,9.5,9,.,9,8,.,.,.,.,.,.,.,.,.,.,.
Three Kings,1999,9.5,7,9.5,9.5,.,8,9,9,8,.,.,.,.,.,.,.,.,.
The Girl with the Dragon Tattoo,2011,7.5,.,7,7,.,7,7,.,.,.,.,.,.,.,.,.,.,.
Nine Days,2021,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nightmare Alley,2021,8,8,8.5,8,.,7.5,6,.,.,.,.,.,.,.,.,.,.,.
Death on the Nile,2022,3,4,4,.,.,7,5,.,.,.,.,.,.,.,7,.,.,.
The Souvenir,2019,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Worst Person in the World,2021,.,.,9,8.5,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Jackass Forever,2022,8,.,8,7,.,.,8.5,7,8,.,.,.,.,.,.,.,.,.
Drive My Car,2021,3,4,8.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Uncharted,2022,.,.,4.5,.,.,5,.,.,6,.,.,.,.,.,6,.,.,.
The Batman,2022,.,.,7.5,9,.,5,7,.,8,7.5,.,.,.,.,7.5,.,.,.
Benedetta,2021,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Against the Ice,2022,7,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CODA,2021,9,7.5,8,.,.,7,.,9,9,.,.,.,.,.,.,8.5,.,8.5
Kimi,2022,.,.,7,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Everything Everywhere All At Once,2022,7.5,7.5,8,7,.,6.5,6.5,.,9,7.25,8.5,.,.,.,.,.,.,.
Lost City,2022,.,.,5,7.5,.,4,7,.,7,5,.,.,.,.,.,.,.,.
Ambulance,2022,.,.,8.5,8.5,.,.,6,.,.,.,.,.,.,.,7,.,.,.
The Edge,1997,9,7,9,8.5,.,8,8,.,.,.,.,.,.,.,.,.,.,.
The Northman,2022,7,6.5,7,.,.,6,6,.,.,.,.,.,.,.,8.5,.,7.5,.
The Unbearable Weight of Massive Talent,2022,.,.,6.5,,.,.,7.5,.,7,.,.,.,.,.,.,.,7,.
Scream (5),2022,.,.,6,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.
Dr. Strange in the Multiverse of Madness,2022,5,.,6.5,.,.,6,7,.,5,.,.,.,.,.,.,4,.,7.5
Moonfall,2022,.,.,2.5,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.
MEN,2022,.,.,7.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Top Gun: Maverick,2022,9,9,9.5,9.5,.,9,9,10,6,9,8,.,.,.,.,8.5,10,9
Downton Abbey: A New Era,2022,7.5,7.5,.,.,.,7,7,.,.,.,.,.,.,.,7,.,.,.
Hustle,2022,7.5,.,8,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Jurassic World: Dominion,2022,.,.,1.5,0.75,.,3,3,5,.,2.5,.,.,.,.,6,.,.,.
Cha Cha Real Smooth,2022,.,.,7.5,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Elvis,2022,6.5,7,6,9.5,.,7.5,7,.,.,.,.,.,.,.,.,.,.,.
Watcher,2022,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Spiderhead,2022,.,.,4.5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Thor: Love and Thunder,2022,4,.,.,.,.,6,7,.,8,.,.,.,.,.,.,.,.,5
Mrs Harris Goes to Paris,2022,7.5,8,.,.,.,7,8,.,.,.,.,.,.,.,.,.,.,.
NOPE,2022,.,.,7,7,.,.,7,.,7,.,.,.,.,.,.,.,7,.
Minions: The Rise of Gru,2022,.,.,.,.,.,.,3,.,3,2,.,.,.,.,.,.,.,4.5
The Gray Man,2022,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,8.5,.
Prey,2022,.,.,8.5,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Bullet Train,2022,.,.,2.5,6,.,.,4,.,.,.,.,.,.,.,.,.,.,.
Vengeance,2022,7,7,7,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Thirteen Lives,2022,6.5,6,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Emily the Criminal,2022,7.5,7.5,7.5,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.
3000 Years of Longing,2022,.,.,6.5,5.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Barbarian,2022,7.5,7,8.5,9,.,.,8,.,.,.,.,.,.,.,5,.,.,.
Moonage Daydream,2022,.,.,7.5,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Tár,2022,8.5,8.5,9,7.5,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Armageddon Time,2022,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
All Quiet On The Western Front,2022,.,.,.,8.5,.,8,6,.,8,.,.,.,.,.,.,.,9,.
The Banshees of Inisherin,2022,7.5,7,9,8,.,6.5,8,.,5,8,.,.,.,.,.,.,.,.
Weird: The Al Yankovic Story,2022,.,.,7.5,.,.,.,6.5,6,5,8.99,.,.,.,.,.,.,.,.
Black Panther: Wakanda Forever,2022,5,5,5.5,5.5,.,6,6,.,.,.,.,.,.,.,.,6,.,7
The Fabelmans,2022,.,.,7,7.5,.,6,7,.,.,.,.,.,.,.,.,.,.,.
"Confess, Fletch",2022,.,.,7.5,8,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
The Menu,2022,7.5,8,8,8,.,7,7,.,.,8,.,.,.,.,8,.,8.5,.
Spirited,2022,7,.,.,8.5,.,.,8.5,8.5,.,.,.,.,7.5,.,.,.,.,7
Prisoners,2013,8,7.5,8,8.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Avatar: The Way of Water,2022,8,8,8.5,8.5,.,6.5,8,8.5,.,7.5,6.5,.,.,.,.,8,.,9
Glass Onion,2022,7,7,6.5,8.5,.,7.5,7.5,.,.,6.5,.,.,.,.,.,6,7.5,7.5
The Whale,2022,7,7,.,.,.,.,.,.,7,7.5,.,.,7.5,.,.,.,9,.
The Vanishing,2018,5.5,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Babylon,2022,.,.,6.5,7,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Bodies Bodies Bodies,2022,.,.,8,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
M3gan,2022,.,.,6.5,.,.,6,7.5,.,.,.,.,.,.,.,.,.,.,.
After Yang,2021,.,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
RRR,2022,8,.,8.5,8.5,.,8,8,.,9,.,.,.,.,.,.,.,.,8
Guillermo Del Toro's Pinocchio,2022,7.5,8.5,.,.,.,7.5,8,3,.,.,.,.,.,.,.,.,.,.
Aftersun,2022,.,.,8,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Broker,2022,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
You People,2023,.,.,.,7.5,.,.,8.5,.,.,.,.,.,7,.,.,.,.,.
Argentina 1985,2022,8,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
"Pamela, A Love Story",2023,.,.,7.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Knock at the Cabin,2023,.,.,6.5,.,.,.,6,.,.,7.5,.,.,.,.,.,.,6.5,.
Triangle of Sadness,2022,.,.,.,7.5,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Force Majeure,2014,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ant-Man & The Wasp: Quantumania,2023,.,.,5,.,.,5,5,.,.,.,.,.,.,.,.,.,.,.
Creed III,2023,.,.,7.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
Scream VI,2023,.,.,6.5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
John Wick: Chapter 4,2023,8.5,.,9,9,.,.,8,9,9,.,.,.,.,.,.,.,.,.
